Neurotransmitter,Neuron,UptakeGene,SynthesisGene,ReleaseGene
GABA,RMED,1,1,1
GABA,RMEV,1,1,1
GABA,RMEL,1,1,1
GABA,RMER,1,1,1
GABA,RIS,1,1,1
GABA,AVL,1,1,1
GABA,DVB,1,1,1
GABA,RIBL,1,1,1
GABA,RIBR,1,1,1
GABA,DD01,1,1,1
GABA,DD02,1,1,1
GABA,DD03,1,1,1
GABA,DD04,1,1,1
GABA,DD05,1,1,1
GABA,DD06,1,1,1
GABA,VD01,1,1,1
GABA,VD02,1,1,1
GABA,VD03,1,1,1
GABA,VD04,1,1,1
GABA,VD05,1,1,1
GABA,VD06,1,1,1
GABA,VD07,1,1,1
GABA,VD08,1,1,1
GABA,VD09,1,1,1
GABA,VD10,1,1,1
GABA,VD11,1,1,1
GABA,VD12,1,1,1
GABA,VD13,1,1,1
GABA,SMDVL,1,1,1
GABA,SMDVR,1,1,1
GABA,SMDDL,1,1,1
GABA,SMDDR,1,1,1
GABA,ALA,1,0,1
GABA,AVFL,1,0,0
GABA,AVFR,1,0,0
Serotonin,ADFL,1,1,1
Serotonin,ADFR,1,1,1
Serotonin,AIML,1,0,0
Serotonin,AIMR,1,0,0
Serotonin,NSML,1,1,1
Serotonin,NSMR,1,1,1
Serotonin,RIH,1,0,1
Serotonin,HSNL,0,1,1
Serotonin,HSNR,0,1,1
Dopamine,CEPDL,1,1,1
Dopamine,CEPVL,1,1,1
Dopamine,CEPDR,1,1,1
Dopamine,CEPVR,1,1,1
Dopamine,ADEL,1,1,1
Dopamine,ADER,1,1,1
Dopamine,PDEL,1,1,1
Dopamine,PDER,1,1,1
Tyramine,RIML,1,1,1
Tyramine,RIMR,1,1,1
Octopamine,RICL,,1,1
Octopamine,RICR,,1,1
Betaine,AUAL,1,,1
Betaine,AUAR,1,,1
Betaine,CANL,1,,
Betaine,CANR,1,,
Betaine,NSML,0.5,,1
Betaine,NSMR,0.5,,1
Betaine,RIML,1,,1
Betaine,RIMR,1,,1
Betaine,RIR,0.5,,1
Betaine,ASIL,0.5,,1
Betaine,ASIR,0.5,,1
Betaine,M3L,0.5,,0
Betaine,M3R,0.5,,0
Betaine,AIBL,1,,0
Betaine,AIBR,1,,0
Betaine,DVB,0.5,,0
Betaine,SMDDL,0.5,,0
Betaine,SMDDR,0.5,,0
Betaine,SMDVL,0.5,,0
Betaine,SMDVR,0.5,,0
Betaine,RIS,1,,0
Betaine,URXL,0.5,,0
Betaine,URXR,0.5,,0
Betaine,PDA,0.5,,0
Betaine,ASGL,0.5,,0
Betaine,ASGR,0.5,,0
Betaine,DA09,0.5,,0
Betaine,VB01,0.5,,0
Betaine,VB02,0.5,,0
Betaine,VB03,0.5,,0
Betaine,VB04,0.5,,0
Betaine,VB05,0.5,,0
Betaine,VB06,0.5,,0
Betaine,VB07,0.5,,0
Betaine,VB08,0.5,,0
Betaine,VB09,0.5,,0
Betaine,VB10,0.5,,0
Betaine,VB11,0.5,,0
Betaine,PHCL,1,,0
Betaine,PHCR,1,,0
Betaine,PVNL,1,,0
Betaine,PVNR,1,,0
Betaine,VA12,0.5,,0
Betaine,RMHL,0.5,,0
Betaine,RMHR,0.5,,0