neuronID,gar-1,gar-2,gar-3
ADAL,1,0,1
ADAR,1,0,1
ADEL,0,0,0
ADER,0,0,0
ADFL,0,0,0
ADFR,0,0,0
ADLL,0,0,0
ADLR,0,0,0
AFDL,1,0,0
AFDR,1,0,0
AIAL,0,0,0
AIAR,0,0,0
AIBL,0,1,0
AIBR,0,1,0
AIML,0,0,0
AIMR,0,0,0
AINL,1,0,0
AINR,1,0,0
AIYL,0,1,0
AIYR,0,1,0
AIZL,0,1,0
AIZR,0,1,0
ALA,0,0,0
ALML,0,0,1
ALMR,0,0,1
ALNL,0,0,0
ALNR,0,0,0
AQR,1,0,0
AS01,1,1,1
AS02,1,1,1
AS03,1,1,1
AS04,1,1,1
AS05,1,1,1
AS06,1,1,1
AS07,1,1,1
AS08,1,1,1
AS09,1,1,1
AS10,1,1,1
AS11,0,0,0
ASEL,1,0,0
ASER,1,0,0
ASGL,0,0,0
ASGR,0,0,0
ASHL,0,0,0
ASHR,0,0,0
ASIL,1,1,1
ASIR,1,1,1
ASJL,0,0,0
ASJR,0,0,0
ASKL,0,0,0
ASKR,0,0,0
AUAL,0,0,0
AUAR,0,0,0
AVAL,1,1,0
AVAR,1,1,0
AVBL,0,0,0
AVBR,0,0,0
AVDL,1,1,0
AVDR,1,1,0
AVEL,0,0,0
AVER,0,0,0
AVFL,0,0,0
AVFR,0,0,0
AVG,0,0,0
AVHL,0,0,0
AVHR,0,0,0
AVJL,1,1,0
AVJR,1,1,0
AVKL,0,0,0
AVKR,0,0,0
AVL,0,0,0
AVM,0,0,0
AWAL,0,0,0
AWAR,0,0,0
AWBL,0,0,0
AWBR,0,0,0
AWCL,0,0,0
AWCR,0,0,0
BAGL,0,1,0
BAGR,0,1,0
BDUL,0,0,0
BDUR,0,0,0
CANL,0,0,0
CANR,0,0,0
CEPDL,1,0,1
CEPDR,1,0,1
CEPVL,1,0,1
CEPVR,1,0,1
DA01,1,1,1
DA02,1,1,1
DA03,1,1,1
DA04,1,1,1
DA05,1,1,1
DA06,1,1,1
DA07,1,1,1
DA08,1,1,1
DA09,1,1,1
DB01,1,1,1
DB02,1,1,1
DB03,1,1,1
DB04,1,1,1
DB05,1,1,1
DB06,1,1,1
DB07,1,1,1
DD01,1,1,1
DD02,1,1,1
DD03,1,1,1
DD04,1,1,1
DD05,1,1,1
DD06,1,1,1
DVA,0,0,0
DVB,0,0,0
DVC,0,0,0
FLPL,0,0,0
FLPR,0,0,0
HSNL,0,0,0
HSNR,0,0,0
I1L,0,0,0
I1R,0,0,0
I2L,0,0,0
I2R,0,0,0
I3,0,0,0
I4,0,0,0
I5,0,0,0
I6,0,0,0
IL1DL,1,1,0
IL1DR,1,1,0
IL1L,1,1,0
IL1R,1,1,0
IL1VL,1,1,0
IL1VR,1,1,0
IL2DL,1,1,0
IL2DR,1,1,0
IL2L,1,1,0
IL2R,1,1,0
IL2VL,1,1,0
IL2VR,1,1,0
LUAL,0,0,0
LUAR,0,0,0
M1,0,0,0
M2L,0,0,0
M2R,0,0,0
M3L,0,0,0
M3R,0,0,0
M4,0,0,0
M5,0,0,0
MCL,0,0,0
MCR,0,0,0
MI,0,0,0
NSML,0,0,0
NSMR,0,0,0
OLLL,0,0,0
OLLR,0,0,0
OLQDL,1,1,1
OLQDR,1,1,1
OLQVL,1,1,1
OLQVR,1,1,1
PDA,0,0,0
PDB,0,0,0
PDEL,0,0,0
PDER,0,0,0
PHAL,0,0,0
PHAR,0,0,0
PHBL,0,0,0
PHBR,0,0,0
PHCL,0,0,0
PHCR,0,0,0
PLML,0,0,0
PLMR,0,0,0
PLNL,0,0,0
PLNR,0,0,0
PQR,0,0,0
PVCL,0,1,0
PVCR,0,1,0
PVDL,0,0,0
PVDR,0,0,0
PVM,0,0,0
PVNL,0,0,0
PVNR,0,0,0
PVPL,0,0,0
PVPR,0,0,0
PVQL,0,0,0
PVQR,0,0,0
PVR,0,0,0
PVT,0,0,0
PVWL,0,0,0
PVWR,0,0,0
RIAL,0,0,0
RIAR,0,0,0
RIBL,0,1,0
RIBR,0,1,0
RICL,0,0,0
RICR,0,0,0
RID,0,0,0
RIFL,0,0,0
RIFR,0,0,0
RIGL,0,0,0
RIGR,0,0,0
RIH,0,0,0
RIML,0,0,0
RIMR,0,0,0
RIPL,0,0,0
RIPR,0,0,0
RIR,0,0,0
RIS,0,0,0
RIVL,0,0,0
RIVR,0,0,0
RMDDL,0,1,0
RMDDR,0,1,0
RMDL,1,1,0
RMDR,1,1,0
RMDVL,0,1,0
RMDVR,0,1,0
RMED,0,0,0
RMEL,0,0,0
RMER,0,0,0
RMEV,0,0,0
RMFL,0,0,0
RMFR,0,0,0
RMGL,0,0,0
RMGR,0,0,0
RMHL,0,0,0
RMHR,0,0,0
SAADL,1,1,0
SAADR,1,1,0
SAAVL,1,1,0
SAAVR,1,1,0
SABD,1,1,1
SABVL,1,1,1
SABVR,1,1,1
SDQL,0,0,0
SDQR,0,0,0
SIADL,0,0,0
SIADR,0,0,0
SIAVL,0,0,0
SIAVR,0,0,0
SIBDL,0,1,0
SIBDR,0,1,0
SIBVL,0,1,0
SIBVR,0,1,0
SMBDL,0,0,0
SMBDR,0,0,0
SMBVL,0,0,0
SMBVR,0,0,0
SMDDL,1,1,0
SMDDR,1,1,0
SMDVL,1,1,0
SMDVR,1,1,0
URADL,0,0,1
URADR,0,0,1
URAVL,0,0,1
URAVR,0,0,1
URBL,0,0,0
URBR,0,0,0
URXL,0,0,0
URXR,0,0,0
URYDL,1,1,1
URYDR,1,1,1
URYVL,1,1,1
URYVR,1,1,1
VA01,1,1,1
VA02,1,1,1
VA03,1,1,1
VA04,1,1,1
VA05,1,1,1
VA06,1,1,1
VA07,1,1,1
VA08,1,1,1
VA09,1,1,1
VA10,1,1,1
VA11,1,1,1
VA12,1,1,1
VB01,1,1,1
VB02,1,1,1
VB03,1,1,1
VB04,1,1,1
VB05,1,1,1
VB06,1,1,1
VB07,1,1,1
VB08,1,1,1
VB09,1,1,1
VB10,1,1,1
VB11,1,1,1
VC01,0,1,0
VC02,0,1,0
VC03,0,1,0
VC04,0,1,0
VC05,0,1,0
VC06,0,1,0
VD01,1,1,1
VD02,1,1,1
VD03,1,1,1
VD04,1,1,1
VD05,1,1,1
VD06,1,1,1
VD07,1,1,1
VD08,1,1,1
VD09,1,1,1
VD10,1,1,1
VD11,1,1,1
VD12,1,1,1
VD13,1,1,1
