cell type,dop-1,dop-2,dop-3,dop-4,lgc-51,lgc-52,lgc-53,lgc-54
ADAL,1,0,0,0,0,0,0,0
ADAR,1,0,0,0,0,0,0,0
ADEL,1,0,0,0,0,0,1,0
ADER,1,0,0,0,0,0,1,0
ADFL,0,1,1,0,0,0,0,0
ADFR,0,1,1,0,0,0,0,0
ADLL,0,0,0,0,0,0,0,0
ADLR,0,0,0,0,0,0,0,0
AFDL,0,0,0,0,0,0,0,0
AFDR,0,0,0,0,0,0,0,0
AIAL,1,0,0,0,0,0,0,0
AIAR,1,0,0,0,0,0,0,0
AIBL,1,0,0,0,0,0,0,0
AIBR,1,0,0,0,0,0,0,0
AIML,1,0,1,1,0,0,0,0
AIMR,1,0,1,1,0,0,0,0
AINL,1,0,0,0,0,0,0,1
AINR,1,0,0,0,0,0,0,1
AIYL,0,0,0,0,0,0,0,0
AIYR,0,0,0,0,0,0,0,0
AIZL,1,0,0,0,0,0,0,0
AIZR,1,0,0,0,0,0,0,0
ALA,0,0,1,1,0,0,1,0
ALML,1,0,0,1,0,0,0,0
ALMR,1,0,0,1,0,0,0,0
ALNL,0,0,0,0,0,0,0,0
ALNR,0,0,0,0,0,0,0,0
AQR,0,0,0,0,0,0,0,0
AS01,0,0,0,0,0,0,0,0
AS02,0,0,0,0,0,0,0,0
AS03,0,0,0,0,0,0,0,0
AS04,0,0,0,0,0,0,0,0
AS05,0,0,0,0,0,0,0,0
AS06,0,0,0,0,0,0,0,0
AS07,0,0,0,0,0,0,0,0
AS08,0,0,0,0,0,0,0,0
AS09,0,0,0,0,0,0,0,0
AS10,0,0,0,0,0,0,0,0
AS11,0,0,0,0,0,0,0,0
ASEL,1,0,0,1,0,0,0,0
ASER,1,0,0,1,0,0,0,0
ASGL,0,0,0,0,0,0,0,0
ASGR,0,0,0,0,0,0,0,0
ASHL,0,1,1,0,0,0,0,1
ASHR,0,1,1,0,0,0,0,1
ASIL,1,0,0,0,0,0,0,0
ASIR,1,0,0,0,0,0,0,0
ASJL,1,0,0,0,0,0,0,0
ASJR,1,0,0,0,0,0,0,0
ASKL,1,1,1,0,0,0,0,0
ASKR,1,1,1,0,0,0,0,0
AUAL,1,0,0,0,1,0,0,0
AUAR,1,0,0,0,1,0,0,0
AVAL,0,1,1,1,0,0,1,0
AVAR,0,1,1,1,0,0,1,0
AVBL,1,0,0,1,1,0,0,0
AVBR,1,0,0,1,1,0,0,0
AVDL,1,0,1,0,0,0,0,0
AVDR,1,0,1,0,0,0,0,0
AVEL,1,0,1,0,0,0,1,1
AVER,1,0,1,0,0,0,1,1
AVFL,0,0,1,0,0,0,1,0
AVFR,0,0,1,0,0,0,1,0
AVG,1,1,1,0,0,0,0,0
AVHL,1,1,0,1,0,0,1,1
AVHR,1,1,0,1,0,0,1,1
AVJL,0,0,0,0,0,0,1,0
AVJR,0,0,0,0,0,0,1,0
AVKL,1,1,1,0,0,0,0,0
AVKR,1,1,1,0,0,0,0,0
AVL,0,0,0,0,0,0,0,0
AVM,0,0,0,0,0,0,0,0
AWAL,0,0,1,0,0,0,1,0
AWAR,0,0,1,0,0,0,1,0
AWBL,0,0,1,0,0,0,0,0
AWBR,0,0,1,0,0,0,0,0
AWCL,1,1,0,0,0,0,0,0
AWCR,1,1,0,0,0,0,0,0
BAGL,0,0,0,0,0,0,1,0
BAGR,0,0,0,0,0,0,1,0
BDUL,1,0,0,0,0,0,1,0
BDUR,1,0,0,0,0,0,1,0
CANL,0,0,0,0,0,0,0,0
CANR,0,0,0,0,0,0,0,0
CEPDL,0,1,1,0,0,0,1,0
CEPDR,0,1,1,0,0,0,1,0
CEPVL,0,1,1,0,0,0,1,0
CEPVR,0,1,1,0,0,0,1,0
DA01,1,1,1,0,0,0,0,0
DA02,1,1,1,0,0,0,0,0
DA03,1,1,1,0,0,0,0,0
DA04,1,1,1,0,0,0,0,0
DA05,1,1,1,0,0,0,0,0
DA06,1,1,1,0,0,0,0,0
DA07,1,1,1,0,0,0,0,0
DA08,1,1,1,0,0,0,0,0
DA09,0,1,0,1,0,0,0,0
DB01,1,1,1,0,0,0,0,0
DB02,1,1,1,0,0,0,0,0
DB03,1,1,1,0,0,0,0,0
DB04,1,1,1,0,0,0,0,0
DB05,1,1,1,0,0,0,0,0
DB06,1,1,1,0,0,0,0,0
DB07,1,1,1,0,0,0,0,0
DD01,0,1,1,0,0,0,1,0
DD02,0,1,1,0,0,0,1,0
DD03,0,1,1,0,0,0,1,0
DD04,0,1,1,0,0,0,1,0
DD05,0,1,1,0,0,0,1,0
DD06,0,1,1,0,0,0,1,0
DVA,0,1,0,0,0,0,1,0
DVB,0,0,1,0,0,0,0,0
DVC,1,1,0,0,0,0,1,0
FLPL,1,0,1,1,0,0,1,0
FLPR,1,0,1,1,0,0,1,0
HSNL,0,0,0,0,0,0,1,0
HSNR,0,0,0,0,0,0,1,0
I1L,1,0,0,0,0,0,0,0
I1R,1,0,0,0,0,0,0,0
I2L,0,0,0,1,0,0,0,0
I2R,0,0,0,1,0,0,0,0
I3,1,0,0,1,0,0,0,0
I4,0,0,0,1,0,0,0,0
I5,1,0,0,0,0,0,0,0
I6,0,0,0,0,0,0,0,0
IL1DL,1,0,1,0,0,0,0,0
IL1DR,1,0,1,0,0,0,0,0
IL1L,1,0,1,0,0,0,0,0
IL1R,1,0,1,0,0,0,0,0
IL1VL,1,0,1,0,0,0,0,0
IL1VR,1,0,1,0,0,0,0,0
IL2DL,0,1,1,0,0,0,1,0
IL2DR,0,1,1,0,0,0,1,0
IL2L,0,1,1,0,0,0,1,0
IL2R,0,1,1,0,0,0,1,0
IL2VL,0,1,1,0,0,0,1,0
IL2VR,0,1,1,0,0,0,1,0
LUAL,1,0,0,0,0,0,1,0
LUAR,1,0,0,0,0,0,1,0
M1,0,0,0,1,0,0,0,0
M2L,0,0,0,0,0,0,0,0
M2R,0,0,0,0,0,0,0,0
M3L,0,0,0,0,0,0,0,0
M3R,0,0,0,0,0,0,0,0
M4,0,0,0,0,0,0,0,0
M5,1,0,0,0,0,0,0,0
MCL,0,0,0,0,0,0,0,0
MCR,0,0,0,0,0,0,0,0
MI,0,0,0,0,0,0,0,0
NSML,0,0,1,1,0,0,0,0
NSMR,0,0,1,1,0,0,0,0
OLLL,0,0,0,1,0,0,1,0
OLLR,0,0,0,1,0,0,1,0
OLQDL,0,1,0,0,0,0,0,0
OLQDR,0,1,0,0,0,0,0,0
OLQVL,0,1,0,0,0,0,0,0
OLQVR,0,1,0,0,0,0,0,0
PDA,0,0,0,0,0,0,0,0
PDB,1,1,0,0,0,0,0,0
PDEL,1,1,0,0,0,0,1,1
PDER,1,1,0,0,0,0,1,1
PHAL,0,0,1,0,0,0,0,0
PHAR,0,0,1,0,0,0,0,0
PHBL,0,0,0,0,0,0,0,0
PHBR,0,0,0,0,0,0,0,0
PHCL,1,0,1,0,0,0,1,0
PHCR,1,0,1,0,0,0,1,0
PLML,1,0,1,1,0,0,0,0
PLMR,1,0,1,1,0,0,0,0
PLNL,0,0,0,0,0,0,0,0
PLNR,0,0,0,0,0,0,0,0
PQR,0,0,0,0,0,0,0,0
PVCL,0,0,1,0,1,0,0,0
PVCR,0,0,1,0,1,0,0,0
PVDL,0,0,0,0,0,0,0,0
PVDR,0,0,0,0,0,0,0,0
PVM,1,1,1,1,0,0,1,0
PVNL,1,0,1,0,0,0,0,0
PVNR,1,0,1,0,0,0,0,0
PVPL,1,0,0,0,0,0,0,0
PVPR,1,0,0,0,0,0,0,0
PVQL,1,0,1,0,0,0,0,0
PVQR,1,0,1,0,0,0,0,0
PVR,1,0,0,0,0,0,0,0
PVT,1,1,0,0,0,0,0,0
PVWL,1,0,0,0,0,0,1,1
PVWR,1,0,0,0,0,0,1,1
RIAL,1,1,0,0,0,0,0,0
RIAR,1,1,0,0,0,0,0,0
RIBL,0,0,0,0,0,0,1,0
RIBR,0,0,0,0,0,0,1,0
RICL,0,1,1,1,0,0,1,1
RICR,0,1,1,1,0,0,1,1
RID,1,1,0,0,0,0,0,0
RIFL,1,0,1,0,0,0,0,0
RIFR,1,0,1,0,0,0,0,0
RIGL,1,1,1,0,0,0,1,0
RIGR,1,1,1,0,0,0,1,0
RIH,0,0,0,0,0,0,1,0
RIML,1,1,1,0,0,0,1,0
RIMR,1,1,1,0,0,0,1,0
RIPL,1,0,0,0,0,0,1,0
RIPR,1,0,0,0,0,0,1,0
RIR,0,1,0,0,0,0,0,0
RIS,0,0,1,0,0,0,1,1
RIVL,1,1,0,0,0,0,0,0
RIVR,1,1,0,0,0,0,0,0
RMDDL,1,1,0,0,1,1,0,1
RMDDR,1,1,0,0,1,1,0,1
RMDL,1,1,0,0,1,1,0,1
RMDR,1,1,0,0,1,1,0,1
RMDVL,1,1,0,0,1,1,0,1
RMDVR,1,1,0,0,1,1,0,1
RMED,0,1,1,0,1,1,0,1
RMEL,0,1,1,0,1,1,0,1
RMER,0,1,1,0,1,1,0,1
RMEV,0,1,1,0,1,1,0,1
RMFL,1,1,0,0,0,0,0,0
RMFR,1,1,0,0,0,0,0,0
RMGL,0,0,0,0,0,0,1,1
RMGR,0,0,0,0,0,0,1,1
RMHL,1,0,0,0,0,0,1,0
RMHR,1,0,0,0,0,0,1,0
SAADL,0,0,0,0,0,1,0,0
SAADR,0,0,0,0,0,1,0,0
SAAVL,0,0,0,0,0,1,0,0
SAAVR,0,0,0,0,0,1,0,0
SABD,0,0,1,0,0,0,0,1
SABVL,0,0,1,0,0,0,0,1
SABVR,0,0,1,0,0,0,0,1
SDQL,0,1,0,0,0,0,0,0
SDQR,0,1,0,0,0,0,0,0
SIADL,0,1,1,1,0,0,1,0
SIADR,0,1,1,1,0,0,1,0
SIAVL,0,1,1,1,0,0,1,0
SIAVR,0,1,1,1,0,0,1,0
SIBDL,0,1,0,1,0,0,1,0
SIBDR,0,1,0,1,0,0,1,0
SIBVL,0,1,0,1,0,0,1,0
SIBVR,0,1,0,1,0,0,1,0
SMBDL,1,0,0,0,0,0,0,0
SMBDR,1,0,0,0,0,0,0,0
SMBVL,1,0,0,0,0,0,0,0
SMBVR,1,0,0,0,0,0,0,0
SMDDL,1,1,0,0,0,1,1,0
SMDDR,1,1,0,0,0,1,1,0
SMDVL,1,1,0,0,0,1,1,0
SMDVR,1,1,0,0,0,1,1,0
URADL,0,0,0,0,0,0,0,0
URADR,0,0,0,0,0,0,0,0
URAVL,0,0,0,0,0,0,0,0
URAVR,0,0,0,0,0,0,0,0
URBL,1,1,0,0,0,1,0,1
URBR,1,1,0,0,0,1,0,1
URXL,0,0,0,0,0,0,1,0
URXR,0,0,0,0,0,0,1,0
URYDL,0,0,0,0,0,0,1,0
URYDR,0,0,0,0,0,0,1,0
URYVL,0,0,0,0,0,0,1,0
URYVR,0,0,0,0,0,0,1,0
VA01,1,1,1,0,0,0,1,1
VA02,1,1,1,0,0,0,1,1
VA03,1,1,1,0,0,0,1,1
VA04,1,1,1,0,0,0,1,1
VA05,1,1,1,0,0,0,1,1
VA06,1,1,1,0,0,0,1,1
VA07,1,1,1,0,0,0,1,1
VA08,1,1,1,0,0,0,1,1
VA09,1,1,1,0,0,0,1,1
VA10,1,1,1,0,0,0,1,1
VA11,1,1,1,0,0,0,1,1
VA12,1,1,1,0,0,0,1,1
VB01,1,1,1,1,0,0,1,0
VB02,1,1,1,1,0,0,1,0
VB03,1,1,1,1,0,0,1,0
VB04,1,1,1,1,0,0,1,0
VB05,1,1,1,1,0,0,1,0
VB06,1,1,1,1,0,0,1,0
VB07,1,1,1,1,0,0,1,0
VB08,1,1,1,1,0,0,1,0
VB09,1,1,1,1,0,0,1,0
VB10,1,1,1,1,0,0,1,0
VB11,1,1,1,1,0,0,1,0
VC01,0,0,0,0,0,0,0,0
VC02,0,0,0,0,0,0,0,0
VC03,0,0,0,0,0,0,0,0
VC04,0,0,0,0,0,0,0,0
VC05,0,0,0,0,0,0,0,0
VC06,0,0,0,0,0,0,0,0
VD01,0,1,1,0,0,0,1,0
VD02,0,1,1,0,0,0,1,0
VD03,0,1,1,0,0,0,1,0
VD04,0,1,1,0,0,0,1,0
VD05,0,1,1,0,0,0,1,0
VD06,0,1,1,0,0,0,1,0
VD07,0,1,1,0,0,0,1,0
VD08,0,1,1,0,0,0,1,0
VD09,0,1,1,0,0,0,1,0
VD10,0,1,1,0,0,0,1,0
VD11,0,1,1,0,0,0,1,0
VD12,0,1,1,0,0,0,1,0
VD13,0,1,1,0,0,0,1,0
